"Name","Description","Fulladdress","Street","Municipality","Categories","About","Plus Code","Time Zone","Price","Note","Amenities","Hotel Class","Phone","Phones","Claimed","Owner","Owner Id","Owner Link","Email","Social Medias","Review Count","Average Rating","Review URL","Google Maps URL","Google Knowledge URL","Latitude","Longitude","Website","Domain","Opening Hours","Featured Image","Cid","Fid","Place Id","Kgmid"
"La Trobe St/Queen St",,"Melbourne VIC 3000","Melbourne VIC 3000","","Bus stop","Getting here: [24-hour public transport available]","4RJ65XQ5+QG","Australia/Melbourne",,,,,,"","YES","La Trobe St/Queen St (owner)",,"",,"",1,4,"https://search.google.com/local/reviews?placeid=ChIJ5aM6dzVd1moRH35lDi5bIxo&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1883449322539154975","https://www.google.com/search?kgmid=/g/11cm6drggl",-37.8106,144.95884999999998,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FZVSMmSU5NC04mrjS7syEA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=70.40322&pitch=0&thumbfov=100","1883449322539154975","0x6ad65d35773aa3e5:0x1a235b2e0e657e1f","ChIJ5aM6dzVd1moRH35lDi5bIxo","/g/11cm6drggl"
"North Melbourne Railway Station/Spencer St",,"West Melbourne VIC 3003","West Melbourne VIC 3003","","Bus stop","Getting here: [24-hour public transport available]","4RJ65WVV+P9","Australia/Melbourne",,,,,,"","YES","North Melbourne Railway Station/Spencer St (owner)",,"",,"",7,4.6,"https://search.google.com/local/reviews?placeid=ChIJJaVlXj9d1moRjkVKZDO0czo&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4211908209340466574","https://www.google.com/search?kgmid=/g/11cm6dr58v",-37.805697699999996,144.9434588,,,"","https://lh5.googleusercontent.com/p/AF1QipMwoMIzU__03rVSqu7Q9di57FDeKFWHSBwEhn1d=w163-h92-k-no","4211908209340466574","0x6ad65d3f5e65a525:0x3a73b433644a458e","ChIJJaVlXj9d1moRjkVKZDO0czo","/g/11cm6dr58v"
"Southern Cross Station - Coach Terminal",,"205 Spencer St, Melbourne VIC 3008","205 Spencer St","Melbourne VIC 3008","Train station, Bus company, Bus stop, Transit station","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance, Wheelchair-accessible toilet], Amenities: [Toilets]","4RJ65XM2+XF","Australia/Melbourne",,,,,,"","YES","Southern Cross Station - Coach Terminal (owner)",,"",,"",16,4,"https://search.google.com/local/reviews?placeid=ChIJafVj2Axd1moRGckBfHvqG-E&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=16220816298987342105","https://www.google.com/search?kgmid=/g/11fcsnbwz6",-37.8150512,144.9511478,,,"","https://lh5.googleusercontent.com/p/AF1QipNaudTLJzrqZ-fWhf18ExJbwa2cFYOzqDmPlJdU=w122-h92-k-no","16220816298987342105","0x6ad65d0cd863f569:0xe11bea7b7c01c919","ChIJafVj2Axd1moRGckBfHvqG-E","/g/11fcsnbwz6"
"Yarraville Station/Birmingham St",,"Yarraville VIC 3013","Yarraville VIC 3013","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ65VMQ+GQ","Australia/Melbourne",,,,,,"","YES","Yarraville Station/Birmingham St (owner)",,"",,"",3,3.3,"https://search.google.com/local/reviews?placeid=ChIJeQdKpkRn1moRZpH5ECiTqz4&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=4515864851661820262","https://www.google.com/search?kgmid=/g/11cm6drl6b",-37.816210999999996,144.889435,,,"","https://lh5.googleusercontent.com/p/AF1QipNpfbLzCGi6uBwUPd8Y9K_UTtuMgcbH3QZBLK7h=w122-h92-k-no","4515864851661820262","0x6ad66744a64a0779:0x3eab932810f99166","ChIJeQdKpkRn1moRZpH5ECiTqz4","/g/11cm6drl6b"
"Rushall Railway Station/Rushall Cres (Fitzroy North)",,"Fitzroy North VIC 3068","Fitzroy North VIC 3068","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ66X8R+H9","Australia/Melbourne",,,,,,"","YES","Rushall Railway Station/Rushall Cres (Fitzroy North) (owner)",,"",,"",4,3.5,"https://search.google.com/local/reviews?placeid=ChIJU9DL-WxD1moRqdkV1s9M3SQ&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=2656363810752158121","https://www.google.com/search?kgmid=/g/11cm6drk2v",-37.7835174,144.99099099999998,,,"","https://lh5.googleusercontent.com/p/AF1QipM8dZliuV3vEVWKmb_y8khAw6DxJDUPPwM5UzH0=w145-h92-k-no","2656363810752158121","0x6ad6436cf9cbd053:0x24dd4ccfd615d9a9","ChIJU9DL-WxD1moRqdkV1s9M3SQ","/g/11cm6drk2v"
"St Kilda Station/Fitzroy St (St Kilda)",,"St Kilda VIC 3182","St Kilda VIC 3182","","Bus Interchange","Accessibility: [Wheelchair-accessible car park, Wheelchair-accessible entrance], Getting here: [24-hour public transport available]","4RJ64XRH+CC","Australia/Melbourne",,,,,,"","YES","St Kilda Station/Fitzroy St (St Kilda) (owner)",,"",,"",5,2.6,"https://search.google.com/local/reviews?placeid=ChIJ228u8Gto1moRzUQqJjpJ_Q4&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1080099999736022221","https://www.google.com/search?kgmid=/m/03ckk8",-37.8588777,144.97859649999998,,,"","https://lh5.googleusercontent.com/p/AF1QipN861pzOZf12JElDUvZ8JDofI9TW1JfJo5Vley4=w163-h92-k-no","1080099999736022221","0x6ad6686bf02e6fdb:0xefd493a262a44cd","ChIJ228u8Gto1moRzUQqJjpJ_Q4","/m/03ckk8"
"Southern Cross Station/Collins St",,"Docklands VIC 3008","Docklands VIC 3008","","Bus stop","Getting here: [24-hour public transport available]","4RJ65XJ3+67","Australia/Melbourne",,,,,,"","YES","Southern Cross Station/Collins St (owner)",,"",,"",6,4,"https://search.google.com/local/reviews?placeid=ChIJG3eY2lFd1moR89f8xBSnQv0&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=18249332347704760307","https://www.google.com/search?kgmid=/g/11cm6dqxc9",-37.8194358,144.95323,,,"","https://lh5.googleusercontent.com/p/AF1QipPBJKPunXLyhsMfYY8A1sax0VNgySnMXgccyWrd=w163-h92-k-no","18249332347704760307","0x6ad65d51da98771b:0xfd42a714c4fcd7f3","ChIJG3eY2lFd1moR89f8xBSnQv0","/g/11cm6dqxc9"
"Kensington Station/Macaulay Rd",,"Kensington VIC 3031","Kensington VIC 3031","","Bus stop","Getting here: [24-hour public transport available]","4RJ66W4H+6R","Australia/Melbourne",,,,,,"","YES","Kensington Station/Macaulay Rd (owner)",,"",,"",2,5,"https://search.google.com/local/reviews?placeid=ChIJE0WYsxFd1moRJYS9Vvdxq4s&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=10064263099415626789","https://www.google.com/search?kgmid=/g/11cm6drk8n",-37.7944204,144.9295186,,,"","https://lh5.googleusercontent.com/p/AF1QipNpSnkAxdlLDSZR_kq3ovIJHLA9A1ta85Ywg_lW=w163-h92-k-no","10064263099415626789","0x6ad65d11b3984513:0x8bab71f756bd8425","ChIJE0WYsxFd1moRJYS9Vvdxq4s","/g/11cm6drk8n"
"Jewell Railway Station/Brunswick Rd",,"Brunswick VIC 3056","Brunswick VIC 3056","","Bus stop","Getting here: [24-hour public transport available]","4RJ66XF4+7W","Australia/Melbourne",,,,,,"","YES","Jewell Railway Station/Brunswick Rd (owner)",,"",,"","","",,"https://www.google.com/maps?cid=7440201552780276411","https://www.google.com/search?kgmid=/g/11cm6drnys",-37.7768,144.95732999999998,,,"","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bhwK5hQmfCNTWwNdVlOiuQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=200.45853&pitch=0&thumbfov=100","7440201552780276411","0x6ad65ccb95ec4049:0x6740e7e472c732bb","ChIJSUDslctc1moRuzLHcuTnQGc","/g/11cm6drnys"
"Melbourne Central",,"Melbourne VIC 3000","Melbourne VIC 3000","","Bus stop","Getting here: [24-hour public transport available]","4RJ65XQ8+92","Australia/Melbourne",,,,,,"","YES","Melbourne Central (owner)",,"",,"",13,4.1,"https://search.google.com/local/reviews?placeid=ChIJO2s7RspC1moRkWAUrz-0ExA&q=Bus/train+stations&authuser=0&hl=en&gl=AU","https://www.google.com/maps?cid=1158467714777637009","https://www.google.com/search?kgmid=/g/1tffzn2v",-37.811572999999996,144.9650514,,,"","https://lh5.googleusercontent.com/p/AF1QipNMjmD3ToFNdg0zM-FkvqyfE3IJr96WS37DlWsd=w138-h92-k-no","1158467714777637009","0x6ad642ca463b6b3b:0x1013b43faf146091","ChIJO2s7RspC1moRkWAUrz-0ExA","/g/1tffzn2v"
